WWC Standard,Average Joe standard,GovEx Book,GovEx Chapter,GovEx Verse,Pre/Post Metric,Metric Source,Reference #,Duplicate,Duplicate #
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,"Data Exploration & Descriptive Statistics (central tendency, variability)","The city published descriptive statistics wherever data is presented (reports, dashboards, websites)",Carter,161,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,"Data Exploration & Descriptive Statistics (central tendency, variability)",TS4. Uses a range of evaluation methods to test the impact of programs,WWC,162,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Data Modeling & Statistical Inference - Sampling & Population Estimation,The city leverages inferential statistics to drive its understanding of issues affecting broader city populations (e.g. disease transmission).,Carter,163,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Data Modeling & Statistical Inference - Prediction & Machine Learning,The city leverages inferential statistics to develop predictive models for at least one service area.,Carter,164,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Coding & Programming,The city employees at least two employees (outside the IT department) who are adept in multiple computer programming languages.,Carter,165,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,"Math that Matters (ratios, slopes, net vs. gross changes)","The city routinely uses basic counting, ratios, and percent changes to understand changes in program performance.",Carter,166,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Reproducibility,"The city publsihes its analysis and underlying methodology to its own employees and/or the public through Github, Sharepoint, or an internal tool",Carter,167,Yes,169
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Reproducibility,Require publishing data creation processes,Andrew/Sun,168,Yes,169
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Reproducibility,Require code sharing or publishing open source,Andrew/Sun,169,Yes,169
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Geospatial Analysis,The city has multiple GIS Specialists on staff and leverages them for spatial and non-spatial analysis at the enterprise level (i.e. not limited to,Carter,170,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Text Mining,"The city treats qualitative information as data and uses text mining analysis to derive insights from PDF reports, etc.",Carter,171,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Text Mining,Require digitization and distribution of archival materials,Andrew/Sun,172,,
Take Stock,Learn from the Results,How to communicate insights,Design choices,Accessibility,The city practices 508-compliance-like standards to make content accessible to those with disabilities.,Carter,173,,
Take Stock,Learn from the Results,How to communicate insights,Design choices,Accessibility,Remove restrictions for accessing information,Andrew/Sun,174,,
Take Stock,Learn from the Results,How to communicate insights,Design choices,Accessibility,Create public APIs for accessing information,Andrew/Sun,175,,
Take Stock,Learn from the Results,How to communicate insights,Design choices,Accessibility,"Create permanent, lasting access to data",Andrew/Sun,176,,
Take Stock,Learn from the Results,How to communicate insights,Design choices,Data Visualization,The city has published data visualizations which are intutive and well designed.,Carter,177,,
Take Stock,Learn from the Results,How to communicate insights,Design choices,Choosing Content Carefully,"The analysis produced by a city is easily understandable and clearly presented, not jumbled with all possible facts.",Carter,178,,
Take Stock,Learn from the Results,How to communicate insights,Design choices,When Maps Matter (and when they don't),The maps published by cities have context provided with them.,Carter,179,,
Take Stock,Learn from the Results,How to communicate insights,Presentation skills,Storytelling Through Data,Presentations given by city officials tell a clear and compelling story about how data is used to add value.,Carter,180,,
Take Stock,Learn from the Results,How to communicate insights,Presentation skills,"Briefing Executives (written, verbal)","Executives in the city report satisfaction with the quality of briefings provided by analyticl staff,",Carter,181,,
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with employees,The city routinely communicates with employees about the importance of data and analysis in their work.,Carter,182,,
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with politicians,The city routinely provides data and analysis to elected officials during committee hearings.,Carter,183,,
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,"The city communicates with the public, through multiple channels, about data and analysis relevant to their lives.",Carter,184,,
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,Proactively release government information online,Andrew/Sun,185,Yes,78
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,Create a central location devoted to data publication and policy,Andrew/Sun,186,,
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,Incorporate public perspectives into policy implementation• The launch of the open data website has been publicly announced,Andrew/Sun,187,,
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,Social media is routinely used to engage the public in conversations about open data,Andrew/Sun,188,,
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,"Links to the open data portal(s) are prominently included on the jurisdiction's web site(s) (header, footer, or navigation)",Andrew/Sun,189,,
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,City representatives who attend locally-organized events direct the public to the open data portal when appropriate,Andrew/Sun,190,,
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,A means is provided for the public to request data,Andrew/Sun,191,,
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,A means is provided for the public to provide feedback on published data,Andrew/Sun,192,,
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,The jurisdiction is listed as a provider on the civic data specification's website,Andrew/Sun,193,,
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,"M7. Publicly releases data that is descriptive of core city services or related to city goals (i.e., data that is useful to the public)",WWC,194,Yes,78
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,"M8. Has a mechanism for releasing data to the public (e.g., resource page on city website)",WWC,195,Yes,78
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,"M12. Publicly releases data that is responsive to residents’ requests (i.e., there is a clear relationship between the data released and residents’ requests)",WWC,196,Yes,78
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,"TS2. Shares key data, findings, and decisions from performance management meetings with the public",WWC,197,Yes,78
